"","Freq","ExpectedMod2","Resid2","Component2"
"Queens.County.NY",19,45.0382,-26.0382,-15.0537
"Arapahoe.County.CO",4,15.0605,-11.0605,-8.1229
"Boulder.County.CO",6,17.9278,-11.9278,-7.9358
"Richmond.County.NY",2,10.602,-8.602,-6.9792
"Macomb.County.MI",8,18.5632,-10.5632,-6.0109
"Whatcom.County.WA",3,10.8934,-7.8934,-5.7196
"Middlesex.County.NJ",7,16.4347,-9.4347,-5.4162
"Ramsey.County.MN",9,18.6041,-9.6041,-4.958
"Benton.County.OR",2,8.3577,-6.3577,-4.8363
"Harris.County.TX",17,28.735,-11.735,-4.7924
"Kanawha.County.WV",1,6.3922,-5.3922,-4.5486
"Deschutes.County.OR",2,7.945,-5.945,-4.4485
"Dallas.County.TX",11,20.3913,-9.3913,-4.3252
"Solano.County.CA",2,7.7959,-5.7959,-4.309
"Bergen.County.NJ",12,21.1782,-9.1782,-3.9776
"Otter.Tail.County.MN",0,3.974,-3.974,-3.974
"St..Louis.city.MO",4,10.3761,-6.3761,-3.9181
"Lane.County.OR",11,19.7148,-8.7148,-3.8524
"Luzerne.County.PA",4,10.1961,-6.1961,-3.7653
"Lucas.County.OH",5,11.4355,-6.4355,-3.6217
"Union.County.NJ",6,12.7984,-6.7984,-3.6113
"Jackson.County.OR",6,12.7859,-6.7859,-3.6015
"Jefferson.County.WA",2,6.962,-4.962,-3.5365
"Lewis.and.Clark.County.MT",1,5.2219,-4.2219,-3.4134
"Essex.County.NJ",12,20.2681,-8.2681,-3.3729
"Pinal.County.AZ",1,5.1318,-4.1318,-3.3267
"Genesee.County.MI",5,11.0104,-6.0104,-3.281
"Kings.County.NY",37,49.7468,-12.7468,-3.2661
"Bernalillo.County.NM",8,14.9036,-6.9036,-3.1978
"Weber.County.UT",1,4.9704,-3.9704,-3.1716
